time,type,id,x,y,z
11.100159,defender,1,11253.397461,3472.320312,4111.724609
11.100159,defender,2,-5811.714355,4426.321777,3721.535156
11.100159,defender,3,648.558289,-5168.093262,5192.975586
11.100159,defender,8,335.880676,11711.719727,5142.128906
11.100159,defender,9,-4362.924805,8911.231445,5035.534668
11.110159,attacker,1,3393.544922,3049.928711,1335.848389
11.110159,attacker,3,3248.032471,3189.425293,1314.179321
11.110159,attacker,6,3121.793701,609.836792,1139.333618
11.110159,attacker,7,3858.511719,4085.128906,1324.302124
11.110159,attacker,8,1741.415039,2626.728516,1243.956665
11.110159,defender,1,11262.617188,3471.852539,4115.324219
11.110159,defender,2,-5820.490234,4429.386719,3724.865479
11.110159,defender,3,645.586365,-5176.232910,5197.771484
11.110159,defender,8,334.838776,11720.411133,5146.736328
11.110159,defender,9,-4369.961426,8916.521484,5040.046387
11.120159,attacker,1,3392.342285,3048.898682,1335.280396
11.120159,attacker,3,3248.226318,3189.279785,1313.575073
11.120159,attacker,6,3122.426758,610.118103,1138.491943
11.120159,attacker,7,3857.588867,4085.071045,1323.714478
11.120159,attacker,8,1740.866211,2626.634766,1243.247437
11.120159,defender,1,11271.836914,3471.384766,4118.923828
11.120159,defender,2,-5829.266113,4432.451172,3728.195801
11.120159,defender,3,642.614502,-5184.372559,5202.567383
11.120159,defender,8,333.796875,11729.102539,5151.343750
11.120159,defender,9,-4376.997559,8921.811523,5044.558105
11.130159,attacker,1,3391.139648,3047.868652,1334.711426
11.130159,attacker,3,3248.420166,3189.134277,1312.969849
11.130159,attacker,6,3123.059814,610.399414,1137.649292
11.130159,attacker,7,3856.666016,4085.013184,1323.125854
11.130159,attacker,8,1740.317383,2626.541016,1242.537231
11.130159,defender,1,11281.056641,3470.916992,4122.522949
11.130159,defender,2,-5838.041992,4435.515625,3731.525879
11.130159,defender,3,639.642700,-5192.511719,5207.363770
11.130159,defender,8,332.755005,11737.792969,5155.950684
11.130159,defender,9,-4384.033691,8927.101562,5049.069824
11.140160,attacker,1,3389.937012,3046.838623,1334.141479
11.140160,attacker,3,3248.614014,3188.988770,1312.363647
11.140160,attacker,6,3123.692871,610.680725,1136.805664
11.140160,attacker,7,3855.743164,4084.955322,1322.536255
11.140160,attacker,8,1739.768555,2626.447266,1241.826050
11.140160,defender,1,11290.276367,3470.449219,4126.122070
11.140160,defender,2,-5846.817871,4438.580078,3734.855957
11.140160,defender,3,636.670959,-5200.650879,5212.160156
11.140160,defender,8,331.713135,11746.483398,5160.557617
11.140160,defender,9,-4391.069824,8932.391602,5053.581543
11.150160,attacker,1,3388.734375,3045.808594,1333.570557
11.150160,attacker,3,3248.807861,3188.843262,1311.756470
11.150160,attacker,6,3124.325928,610.962036,1135.961060
11.150160,attacker,7,3854.820312,4084.897461,1321.945679
11.150160,attacker,8,1739.219727,2626.353516,1241.113892
11.150160,defender,1,11299.496094,3469.981445,4129.720703
11.150160,defender,2,-5855.593750,4441.644531,3738.186035
11.150160,defender,3,633.699280,-5208.790039,5216.957031
11.150160,defender,8,330.671265,11755.173828,5165.164551
11.150160,defender,9,-4398.105957,8937.681641,5058.093262
11.160160,attacker,1,3387.531738,3044.778564,1332.998657
11.160160,attacker,3,3249.001709,3188.697754,1311.148193
11.160160,attacker,6,3124.958984,611.243347,1135.115479
11.160160,attacker,7,3853.897461,4084.839600,1321.354126
11.160160,attacker,8,1738.670898,2626.259766,1240.400757
11.160160,defender,1,11308.715820,3469.513672,4133.318848
11.160160,defender,2,-5864.369629,4444.708984,3741.516113
11.160160,defender,3,630.727661,-5216.928711,5221.753906
11.160160,defender,8,329.629395,11763.864258,5169.771484
11.160160,defender,9,-4405.142090,8942.971680,5062.604492
11.170160,attacker,1,3386.329102,3043.748535,1332.425781
11.170160,attacker,3,3249.195557,3188.552246,1310.538940
11.170160,attacker,6,3125.592041,611.524658,1134.268921
11.170160,attacker,7,3852.974609,4084.781738,1320.761597
11.170160,attacker,8,1738.122070,2626.166016,1239.686646
11.170160,defender,1,11317.935547,3469.045898,4136.916992
11.170160,defender,2,-5873.145020,4447.773438,3744.846191
11.170160,defender,3,627.756104,-5225.067383,5226.551270
11.170160,defender,8,328.587555,11772.554688,5174.378418
11.170160,defender,9,-4412.178223,8948.260742,5067.115723
11.180161,attacker,1,3385.126465,3042.718506,1331.851929
11.180161,attacker,3,3249.389404,3188.406738,1309.928711
11.180161,attacker,6,3126.225098,611.805969,1133.421387
11.180161,attacker,7,3852.051758,4084.723877,1320.168091
11.180161,attacker,8,1737.573242,2626.072266,1238.971558
11.180161,defender,1,11327.155273,3468.578369,4140.514648
11.180161,defender,2,-5881.920410,4450.837891,3748.176270
11.180161,defender,3,624.784607,-5233.206055,5231.348633
11.180161,defender,8,327.545715,11781.245117,5178.985352
11.180161,defender,9,-4419.214355,8953.549805,5071.626953
11.190161,attacker,1,3383.923828,3041.688477,1331.277100
11.190161,attacker,3,3249.583252,3188.261230,1309.317505
11.190161,attacker,6,3126.858154,612.087280,1132.572876
11.190161,attacker,7,3851.128906,4084.666016,1319.573608
11.190161,attacker,8,1737.024414,2625.978516,1238.255371
11.190161,defender,1,11336.375000,3468.110840,4144.112305
11.190161,defender,2,-5890.695801,4453.902344,3751.506348
11.190161,defender,3,621.813232,-5241.344238,5236.146484
11.190161,defender,8,326.503876,11789.935547,5183.592285
11.190161,defender,9,-4426.250488,8958.838867,5076.138184
11.200161,attacker,1,3382.721191,3040.658447,1330.701294
11.200161,attacker,3,3249.777100,3188.115723,1308.705322
11.200161,attacker,6,3127.491211,612.368591,1131.723389
11.200161,attacker,7,3850.206055,4084.608154,1318.978149
11.200161,attacker,8,1736.475586,2625.884766,1237.538208
11.200161,defender,1,11345.594727,3467.643311,4147.709473
11.200161,defender,2,-5899.471191,4456.966797,3754.836426
11.200161,defender,3,618.841919,-5249.482422,5240.944336
