time,type,id,x,y,z
0.420000,defender,8,3957.442871,1969.970337,95.324532
0.430000,attacker,0,1660.906250,3565.920166,94.901184
0.430000,defender,8,3949.436768,1975.534180,97.531525
0.440000,attacker,0,1661.903809,3565.226807,97.088516
0.440000,defender,8,3941.430664,1981.097900,99.738785
0.450000,attacker,0,1662.901733,3564.533203,99.275658
0.450000,defender,8,3933.424805,1986.661499,101.946304
0.460000,attacker,0,1663.900024,3563.839355,101.462616
0.460000,defender,8,3925.418945,1992.225098,104.154083
0.470000,attacker,0,1664.898682,3563.145264,103.649391
0.470000,defender,8,3917.413330,1997.788574,106.362122
0.480000,attacker,0,1665.897705,3562.450928,105.835983
0.480000,defender,8,3909.407715,2003.351929,108.570427
0.490000,attacker,0,1666.897095,3561.756348,108.022392
0.490000,defender,8,3901.402344,2008.915283,110.778992
0.500000,attacker,0,1667.896851,3561.061523,110.208618
0.500000,defender,8,3893.396973,2014.478516,112.987816
0.510000,attacker,0,1668.896851,3560.366455,112.394661
0.510000,defender,8,3885.391846,2020.041626,115.196907
0.520000,attacker,0,1669.897217,3559.671143,114.580521
0.520000,defender,8,3877.386719,2025.604736,117.406258
0.530000,attacker,0,1670.897949,3558.975586,116.766190
0.530000,defender,8,3869.381836,2031.167725,119.615868
0.540000,attacker,0,1671.899048,3558.279785,118.951675
0.540000,defender,8,3861.376953,2036.730591,121.825737
0.550000,attacker,0,1672.900513,3557.583740,121.136978
0.550000,defender,8,3853.372070,2042.293335,124.035873
0.560000,attacker,0,1673.902344,3556.887451,123.322098
0.560000,defender,8,3845.367432,2047.856079,126.246269
0.570000,attacker,0,1674.904541,3556.190918,125.507034
0.570000,defender,8,3837.362793,2053.418701,128.456924
0.580000,attacker,0,1675.907104,3555.494141,127.691788
0.580000,defender,8,3829.358398,2058.981201,130.667847
0.590000,attacker,0,1676.910034,3554.797119,129.876358
0.590000,defender,8,3821.354004,2064.543701,132.879028
0.600000,attacker,0,1677.913330,3554.099854,132.060745
0.600000,defender,8,3813.349854,2070.106201,135.090469
0.610000,attacker,0,1678.916992,3553.402344,134.244949
0.610000,defender,8,3805.345703,2075.668457,137.302170
0.620000,attacker,0,1679.920898,3552.704590,136.428970
0.620000,defender,8,3797.341797,2081.230713,139.514130
0.630000,attacker,0,1680.925171,3552.006592,138.612808
0.630000,defender,8,3789.337891,2086.792969,141.726364
0.640000,attacker,0,1681.929810,3551.308350,140.796463
0.640000,defender,8,3781.334229,2092.354980,143.938858
0.650000,attacker,0,1682.934814,3550.609863,142.979935
0.650000,defender,8,3773.330566,2097.916992,146.151611
0.660000,attacker,0,1683.940186,3549.911133,145.163223
0.660000,defender,8,3765.327148,2103.479004,148.364624
0.670000,attacker,0,1684.945923,3549.212158,147.346329
0.670000,defender,8,3757.323730,2109.040771,150.577896
0.680000,attacker,0,1685.952026,3548.512939,149.529251
0.680000,defender,8,3749.320557,2114.602539,152.791428
0.690000,attacker,0,1686.958496,3547.813477,151.711990
0.690000,defender,8,3741.317383,2120.164307,155.005219
0.700000,attacker,0,1687.965332,3547.113770,153.894547
0.700000,defender,8,3733.314453,2125.725830,157.219284
0.710000,attacker,0,1688.972534,3546.413818,156.076920
0.710000,defender,8,3725.311523,2131.287354,159.433609
0.720000,attacker,0,1689.980103,3545.713623,158.259109
0.720000,defender,8,3717.308838,2136.848877,161.648193
0.730000,attacker,0,1690.988037,3545.013184,160.441116
0.730000,defender,8,3709.306152,2142.410156,163.863037
0.740000,attacker,0,1691.996216,3544.312500,162.622940
0.740000,defender,8,3701.303711,2147.971436,166.078140
0.750000,attacker,0,1693.004761,3543.611572,164.804581
0.750000,defender,8,3693.301270,2153.532715,168.293503
0.760000,attacker,0,1694.013672,3542.910400,166.986038
0.760000,defender,8,3685.299072,2159.093750,170.509140
0.770000,attacker,0,1695.022949,3542.208984,169.167313
