time,x,y,z,vx,vy,vz,v,rho,height
1.530000,92.769798,96.780411,55.661980,60.633900,55.701569,36.380341,90.014801,484.668901,96.780411
1.540000,93.376137,97.337425,56.025784,60.633900,55.603470,36.380341,89.954124,484.087764,97.337425
1.550000,93.982475,97.893463,56.389587,60.633900,55.505371,36.380341,89.893524,483.507381,97.893463
1.560000,94.588814,98.448517,56.753391,60.633900,55.407272,36.380341,89.832985,482.927801,98.448517
1.570000,95.195152,99.002586,57.117195,60.633900,55.309174,36.380341,89.772507,482.348973,99.002586
1.580000,95.801491,99.555679,57.480999,60.633900,55.211075,36.380341,89.712105,481.770940,99.555679
1.590000,96.407829,100.107788,57.844803,60.633900,55.112976,36.380341,89.651764,481.193665,100.107788
1.600000,97.014168,100.658920,58.208607,60.633900,55.014877,36.380341,89.591492,480.617192,100.658920
1.610000,97.620506,101.209068,58.572411,60.633900,54.916779,36.380341,89.531288,480.041460,101.209068
1.620000,98.226845,101.758240,58.936214,60.633900,54.818680,36.380341,89.471153,479.466538,101.758240
1.630000,98.833183,102.306427,59.300018,60.633900,54.720581,36.380341,89.411079,478.892363,102.306427
1.640000,99.439522,102.853630,59.663822,60.633900,54.622482,36.380341,89.351074,478.318986,102.853630
1.650000,100.045860,103.399857,60.027626,60.633900,54.524384,36.380341,89.291138,477.746357,103.399857
1.660000,100.652199,103.945099,60.391430,60.633900,54.426285,36.380341,89.231270,477.174518,103.945099
1.670000,101.258537,104.489365,60.755234,60.633900,54.328186,36.380341,89.171471,476.603434,104.489365
1.680000,101.864876,105.032646,61.119038,60.633900,54.230087,36.380341,89.111732,476.033146,105.032646
1.690000,102.471214,105.574944,61.482841,60.633900,54.131989,36.380341,89.052071,475.463594,105.574944
1.700000,103.077553,106.116264,61.846645,60.633900,54.033890,36.380341,88.992470,474.894846,106.116264
1.710000,103.683891,106.656601,62.210449,60.633900,53.935791,36.380341,88.932945,474.326842,106.656601
1.720000,104.290230,107.195961,62.574253,60.633900,53.837692,36.380341,88.873482,473.759633,107.195961
1.730000,104.896568,107.734337,62.938057,60.633900,53.739594,36.380341,88.814095,473.193165,107.734337
1.740000,105.502907,108.271736,63.301861,60.633900,53.641495,36.380341,88.754768,472.627484,108.271736
1.750000,106.109245,108.808151,63.665665,60.633900,53.543396,36.380341,88.695518,472.062551,108.808151
1.760000,106.715584,109.343582,64.029465,60.633900,53.445297,36.380341,88.636330,471.498410,109.343582
1.770000,107.321922,109.878036,64.393265,60.633900,53.347198,36.380341,88.577217,470.935010,109.878036
1.780000,107.928261,110.411507,64.757065,60.633900,53.249100,36.380341,88.518166,470.372399,110.411507
1.790000,108.534599,110.944000,65.120865,60.633900,53.151001,36.380341,88.459190,469.810529,110.944000
1.800000,109.140938,111.475510,65.484665,60.633900,53.052902,36.380341,88.400276,469.249448,111.475510
1.810000,109.747276,112.006042,65.848465,60.633900,52.954803,36.380341,88.341438,468.689105,112.006042
1.820000,110.353615,112.535591,66.212265,60.633900,52.856705,36.380341,88.282669,468.129550,112.535591
1.830000,110.959953,113.064156,66.576065,60.633900,52.758606,36.380341,88.223976,467.570731,113.064156
